,Inkom,Marsh_Hawkins,Marsh_McCammon,Pebble,Pocatello,Topaz,Toponce,Tyhee,Total_Discharge_(ft^3/year)
1986,,,4613846400.0,,18955382400.0,10708416000.0,,26727494400.0,61005139200.0
1987,,,3037737600.0,,8271244800.0,6287760000.0,,15335395200.0,32932137600.0
1988,,,2275257600.0,,5937494400.0,4729276800.0,,12594096000.0,25536124800.0
1989,,,2279318400.0,,6720019200.0,5313081600.0,,13433558400.0,27745977600.0
1990,,,2029795200.0,,5126457600.0,4493145600.0,,11471760000.0,23121158400.0
1991,,,1974067200.0,,5680886400.0,4411756800.0,,12609129600.0,24675840000.0
1992,,,1480464000.0,,3609299520.0,3488313600.0,,9934963200.0,18513040320.0
1993,,,2280960000.0,,8254396800.0,4841942400.0,,14757897600.0,30135196800.0
1994,,,1665705600.0,,4790681280.0,3928262400.0,,11469686400.0,21854335680.0
1995,,,2129760000.0,,7046438400.0,4787424000.0,,,13963622400.0
1996,,,2804112000.0,,10537257600.0,6664723200.0,,,20006092800.0
1997,,,3170016000.0,,14194656000.0,9160646400.0,,,26525318400.0
1998,,,2827612800.0,,12694492800.0,7551273600.0,,,23073379200.0
1999,,,2538172800.0,,10867651200.0,6828969600.0,,,20234793600.0
2000,,,1961884800.0,,6991228800.0,5426870400.0,,,14379984000.0
2001,,,1555778880.0,,4444917120.0,3856412160.0,,6303225600.0,16160333760.0
2002,,,1410566400.0,,4834866240.0,3997607040.0,,10788992640.0,21032032320.0
2003,,,1049212224.0,,3614028192.0,3226530240.0,,9438707520.0,17328478176.0
2004,,,1399576320.0,,4044945600.0,3433691520.0,,10140336000.0,19018549440.0
2005,,,2004488640.0,,6077376000.0,4424906880.0,,12290832000.0,24797603520.0
2006,,,2784507840.0,,10784448000.0,7148761920.0,,16979241600.0,37696959360.0
2007,,,1811246400.0,,5963207040.0,4429408320.0,,11424430080.0,23628291840.0
2008,,,1479945600.0,,5150891520.0,4285604160.0,,11023896960.0,21940338240.0
2009,,,1915367040.0,,7362394560.0,4996278720.0,,14044060800.0,28318101120.0
2010,,,1654542720.0,,5976313920.0,4595253120.0,,12142560960.0,24368670720.0
2011,,,2312902080.0,,11047518720.0,6991747200.0,,17250105600.0,37602273600.0
2012,,,1597320000.0,,6199346880.0,4650704640.0,,11873554560.0,24320926080.0
2013,,,1209392640.0,,4560788160.0,3505705920.0,,10797624000.0,20073510720.0
2014,,,1177113600.0,,4381344000.0,3588468480.0,,9985420800.0,19132346880.0
2015,,,1059638976.0,,4145083200.0,3532075200.0,,9833555520.0,18570352896.0
2016,,,1383635520.0,,5708430720.0,4252633920.0,,11453235840.0,22797936000.0
2017,,,2965394880.0,,12111975360.0,7909254720.0,,19024416000.0,42011040960.0
2018,,,2051472960.0,,8780192640.0,6363014400.0,,14581555200.0,31776235200.0
2019,,,2190136320.0,,9654819840.0,6237388800.0,,16161811200.0,34244156160.0
2020,,,1975173120.0,,7363232640.0,5690649600.0,,13729824000.0,28758879360.0
2021,,,1260480960.0,,4662783360.0,4109166720.0,,10689883200.0,20722314240.0
2022,,,1293019200.0,,4704497280.0,3934042560.0,,9941857920.0,19873416960.0
2023,,,2199631680.0,,10093680000.0,6752436480.0,,15554332800.0,34600080960.0
2024,5331562560.0,72596736.0,2281409280.0,1117972800.0,10132655040.0,7026739200.0,858011616.0,16227043200.0,43047990432.0
