,Inkom_Runoff_mm,Marsh_Hawkins_Runoff_mm,Marsh_McCammon_Runoff_mm,Pebble_Runoff_mm,Pocatello_Runoff_mm,Topaz_Runoff_mm,Toponce_Runoff_mm,Tyhee_Runoff_mm,Total_Runoff_mm
1986,,,142.9010910027392,,165.002311549192,203.25903925619835,,223.9210145340553,735.0834563421848
1987,,,94.08549387774215,,71.99931304942886,119.34949638429752,,128.47883157594757,413.91313488741605
1988,,,70.4697913984033,,51.68454427014792,89.76754907024794,,105.5124251923625,317.43430993116164
1989,,,70.59556341160771,,58.496245459809444,100.84888946280992,,112.54538045027074,342.4860787844978
1990,,,62.86727460023881,,44.624652576722646,85.28548553719008,,96.10957537760046,288.886988091752
1991,,,61.14125441902934,,49.45082973627415,83.740625,,105.63837560558565,299.97108476088914
1992,,,45.85326481399105,,31.41813503447913,66.21252582644628,,83.23440296380737,226.71832863872382
1993,,,70.64640741694566,,71.85265502447756,91.90608212809917,,123.64059846110004,358.04574303062236
1994,,,51.590609416336946,,41.70179574406486,74.5633006198347,,96.09220290681107,263.94790868704763
1995,,,65.96340692529206,,61.33765068168658,90.87125516528926,,,218.1723127722679
1996,,,86.8495891180671,,91.72444135916197,126.50472623966942,,,305.0787567168985
1997,,,98.1824503078688,,123.5612662525662,173.8804493801653,,,395.6241659406003
1998,,,87.57746119448413,,110.5026852924146,143.3325542355372,,,341.41270072243594
1999,,,78.61286025331867,,94.60044283307892,129.62232696280992,,,302.8356300492075
2000,,,60.7639383794161,,60.85706361530768,103.00874225206613,,,224.62974424678993
2001,,,48.18593425889073,,38.691997025846184,73.19949380165289,,52.80796808207467,212.88539316846447
2002,,,43.68838058670663,,42.0864158156551,75.87954803719009,,90.38939982901111,252.04374426856293
2003,,,32.49643757169948,,31.45929705348213,61.24355242768595,,79.07680877742948,204.27609583029704
2004,,,43.347993350970434,,35.21033551350214,65.17573088842975,,84.9550014249074,228.6890611778097
2005,,,62.08347411795004,,52.902181923461605,83.99022985537191,,102.97170133941295,301.9475872361965
2006,,,86.2424046543207,,93.87617781755014,135.69238248966943,,142.2508577942434,458.0618227557836
2007,,,56.09833188958865,,51.90836697899669,84.07567277892564,,95.71304873183243,287.7954203793434
2008,,,45.83720881230539,,44.837344317523815,81.34609116735538,,92.35741122827017,264.3780555254548
2009,,,59.32317982815536,,64.08797750960679,94.83557722107439,,117.66012539184953,335.9068599506861
2010,,,51.24487018003886,,52.02245940148445,87.22361311983472,,101.72949729267599,292.220439994034
2011,,,71.635724720811,,96.16614886561037,132.7120480371901,,144.5201367911086,445.0340584147201
2012,,,49.47255519396906,,53.96391081486551,88.27615185950414,,99.47578113422628,291.188399002565
2013,,,37.45758153255449,,39.70062819129336,66.54265366735538,,90.46171273867198,234.1625761298752
2014,,,36.457827827593476,,38.13860741169659,68.11358987603306,,83.65713308634939,226.3671582016725
2015,,,32.81937728560391,,36.08201064641786,67.04317536157025,,82.3848167569108,218.3293800505028
2016,,,42.854271299136094,,49.69059680475864,80.72027505165289,,95.95438130521516,269.2195244607628
2017,,,91.84487884250697,,105.432002882034,150.1274806301653,,159.3851809632374,506.78954331794364
2018,,,63.538683070727885,,76.4295887508554,120.77791838842975,,122.16321459105158,382.9094048010646
2019,,,67.83339592161637,,84.04302047691742,118.39338842975206,,135.40248503847252,405.6722898667584
2020,,,61.175507222625434,,64.09527280623256,108.01559917355372,,115.02747221430607,348.3138514167178
2021,,,39.03990049867721,,40.58847331157551,77.99708935950413,,89.55906811057282,247.18453128032968
2022,,,40.04768220448108,,40.95158353950624,74.67301523760331,,83.2921664291821,238.96444741077272
2023,,,68.12748835249222,,87.8631987945465,128.16963326446282,,130.31307495012825,414.4733953616298
2024,54.73334862064952,4.434158179047971,70.66032261840658,46.83147620404674,88.2024676922672,133.3762396694215,101.96531324110673,135.94899401538902,636.1523202403353
