Year,Total_Runoff_mm,Precipitation_mm,Runoff_Efficiency_%
1986,735.0834563421848,672.452031764787,1.0931388732859169
1987,413.9131348874161,393.759180890683,1.051183451649673
1988,317.43430993116164,285.173252569924,1.11312792160733
1989,342.4860787844978,504.758422893961,0.678514836505159
1990,288.886988091752,398.106499737071,0.7256525283625038
1991,299.97108476088914,507.543262870041,0.5910256459018317
1992,226.71832863872385,314.21729351246,0.721533579849683
1993,358.0457430306224,683.958159446716,0.5234907107771936
1994,263.94790868704763,383.318840213657,0.6885857959392929
1995,218.1723127722679,556.336706038602,0.3921587599814595
1996,305.0787567168985,571.241959195641,0.5340622337099962
1997,395.6241659406003,752.386999567759,0.5258253613737127
1998,341.41270072243594,543.354041836925,0.6283429852996344
1999,302.8356300492075,529.330891893082,0.5721102521830076
2000,224.62974424678995,406.66374717791,0.5523721890766855
2001,212.88539316846447,279.467685492997,0.7617531622410026
2002,252.04374426856293,464.314680208705,0.5428295830648122
2003,204.27609583029704,325.202917551257,0.628149640748841
2004,228.6890611778097,565.354272621194,0.40450576258585896
2005,301.9475872361965,536.470020863198,0.562841492522458
2006,458.0618227557836,609.222226378844,0.7518796966395289
2007,287.7954203793434,394.265752696499,0.7299528767361257
2008,264.3780555254548,383.361190703111,0.6896317674738205
2009,335.9068599506861,627.552984222923,0.5352645408365445
2010,292.220439994034,424.72740698598,0.6880187979102559
2011,445.0340584147201,665.525954290763,0.6686952710792227
2012,291.188399002565,367.106948396594,0.7931977323621441
2013,234.1625761298752,435.614373997314,0.5375455680700726
2014,226.3671582016725,541.943752384677,0.4176949308956972
2015,218.3293800505028,547.24959291871,0.3989575924324791
2016,269.2195244607628,605.08759754981,0.444926528904108
2017,506.7895433179437,619.419009919019,0.8181691798322429
2018,382.9094048010646,417.428309600509,0.9173057887892655
2019,405.6722898667584,599.717010913436,0.676439524783321
2020,348.3138514167178,414.830968783688,0.8396524792688386
2021,247.18453128032968,458.564502956753,0.5390398290459075
2022,238.96444741077272,422.505592486907,0.5655888387280411
2023,414.4733953616298,731.756532105588,0.5664088766915494
2024,636.1523202403353,511.542220474518,1.2435969012493753
